COUNTY,crop,xland,price,yld,revenue
Santa Barbara,Vineyards,22545.19644,2490.613332,3.38,189791619.9
Santa Clara,Other Deciduous Orchard,2333.710751,4455.939078,1.516,15764691.36
Santa Clara,Subtropical,94.30215563,838.4826047,4.44,351073.9838
Santa Clara,Vineyards,1572.17743,2187.590795,3.455,11882715.42
Santa Cruz,Other Deciduous Orchard,2049.201445,3237.671204,1.013,6720890.835
Santa Cruz,Subtropical,19.11422919,3159.579112,4.75,286866.3666
Santa Cruz,Vineyards,590.8877188,3889.462015,2.622,6025973.055
Shasta,Almonds Pistachios,3.17944378,4899.886629,0.738,11497.23858
Shasta,Other Deciduous Orchard,1542.598482,1756.155217,1.61,4361558.219
Shasta,Subtropical,647.2122653,1088.420449,3.372,2375368.524
Shasta,Vineyards,146.4424543,1363.714388,2.075,414389.2899
Siskiyou,Other Deciduous Orchard,50.68077249,1756.155217,1.61,143295.3179
Siskiyou,Vineyards,3.75211621,1881.59196,2.001666667,14131.66997
Solano,Almonds Pistachios,22012.89111,4587.35172,0.684,69070917.74
Solano,Other Deciduous Orchard,14518.13787,1481.366082,1.616,34754790.07
Solano,Subtropical,351.287522,4117.865076,1.182,1709827.559
Solano,Vineyards,5196.457016,1271.637612,6.009,39707533.23
Sonoma,Other Deciduous Orchard,1968.190205,552.0719183,3.558,3866060.684
Sonoma,Subtropical,390.1439282,2318.640242,1.6595,1501189.363
Sonoma,Vineyards,61842.41286,3187.686295,3.636,716779994.6
Stanislaus,Almonds Pistachios,196982.6769,5214.499962,1.115,1145290270
Stanislaus,Other Deciduous Orchard,44197.76726,1945.749789,1.8275,157160972.8
Stanislaus,Subtropical,1296.730153,838.4826047,4.44,4827548.405
Stanislaus,Vineyards,7655.698808,545.043687,9.928333333,41427860.25
Sutter,Almonds Pistachios,15776.52246,4408.234611,0.618,42979806.42
Sutter,Other Deciduous Orchard,61955.45082,1783.515799,1.588,175471658.3
Sutter,Subtropical,1089.628846,800.2415035,2.03,1770091.438
Sutter,Vineyards,101.4852521,1139.896276,6.178583333,714754.9605
Tehama,Almonds Pistachios,18824.36648,4899.886629,0.738,68071099.07
Tehama,Other Deciduous Orchard,35681.23648,1630.911783,1.886,109751901.8
Tehama,Subtropical,18849.90914,1088.420449,3.372,69182064.77
Tehama,Vineyards,260.7351765,2093.550165,3.55,1937810.71
Trinity,Other Deciduous Orchard,8.60216633,1430.603177,1.68,20674.56129
Trinity,Vineyards,128.6596722,2138.672448,1.93,531060.5295
Tulare,Almonds Pistachios,154795.8554,4626.902127,1.064,762063690.3
Tulare,Other Deciduous Orchard,76759.1611,1985.924367,1.976,301217267.6
Tulare,Subtropical,135585.4524,814.3823391,17.69,1953301458
Tulare,Vineyards,43485.96417,894.590042,11.574,450253027.1
Tuolumne,Other Deciduous Orchard,158.9133092,1934.830578,1.514833333,465766.3047
Tuolumne,Subtropical,6.81922368,937.8115717,2.511,16058.21381
Tuolumne,Vineyards,51.8432861,1027.262909,6.111583333,325482.6678
Ventura,Other Deciduous Orchard,534.5480728,1632.856883,1.536,1340683.008
Ventura,Subtropical,44455.48723,3182.049543,3.352,474172454.6
Ventura,Vineyards,88.89657233,1541.837298,9.962,1365432.075
Yolo,Almonds Pistachios,48230.18153,4263.813686,0.82,168628496.6
Yolo,Other Deciduous Orchard,20870.29123,1599.19914,1.416,47260064.54
Yolo,Subtropical,4283.882054,886.1622705,3.512,13332305.84
Yolo,Vineyards,19923.85755,1004.793117,6.612333333,132374647.9
Yuba,Almonds Pistachios,2378.002814,4650.694011,0.724,8006979.135
Yuba,Other Deciduous Orchard,27228.94844,1495.920229,2.02,82279316.24
Yuba,Subtropical,1656.920611,832.2049699,2.844,3921584.681
Yuba,Vineyards,259.3487353,1739.113833,3.126333333,1410091.923
Alameda,Alfalfa,77.80064626,270.9914415,4.252,89646.23106
Alameda,Corn,71.30338296,372.8250333,18.650625,495802.3611
Alameda,Grain,1557.665142,198.6118649,2.4425,755638.1272
Alameda,Other Truck,164.9887184,591.4466351,19.98,1949688.806
Alameda,Pasture,13.09502439,292.6113447,5,19158.76348
Alpine,Alfalfa,68.84845651,301.2097943,6.602,136911.1499
Alpine,Other Truck,1.80498658,49733.85273,0.042125,3781.516461
Alpine,Pasture,3501.73551,163.6658341,5,2865572.314
Amador,Alfalfa,664.4248974,320.5759342,6.602,1406216.97
Amador,Corn,2.21239761,139.6373486,15.982,4937.37258
Amador,Grain,1570.500216,183.4739185,2.235,644005.927
Amador,Other Truck,9.0629065,6892.456855,4.752,296836.9685
Amador,Pasture,3277.029419,126.7426104,5,2076696.314
Butte,Alfalfa,494.6861191,285.8737743,5.604,792505.2839
Butte,Corn,542.0945894,232.0763346,6.09075,766260.9665
Butte,Cucurbits,54.35682951,202.6283347,12.01,132280.9485
Butte,Dry Beans,533.1373838,1522.772293,1.682,1365526.379
Butte,Grain,4583.63046,241.8196189,2.9205,3237116.578
Butte,Other Field,181.3425559,259.2600775,2.884875,135632.0666
Butte,Other Truck,349.5750071,49733.85273,0.042125,732373.1146
Butte,Pasture,6917.19434,179.0870935,5,6193901.146
Butte,Rice,100258.8222,573.3734269,4.378,251672589.3
Butte,Safflower,173.3300858,561.7793979,1.017,99028.61685
Butte,Tomatoes Fresh Market,0,615.2976706,24.66622222,0
Butte,Tomatoes Processing,557.0551952,95.7904883,47.10183333,2513381.577
Calaveras,Grain,487.6662076,145.5340244,1.6,113555.2412
Calaveras,Other Truck,16.88744847,6892.456855,4.752,553113.8394
Calaveras,Pasture,792.0573766,206.167161,5,816481.1033
Colusa,Alfalfa,6304.141011,275.4176531,6.678,11594822.56
Colusa,Corn,4285.439614,220.9574058,6.284,5950317.211
Colusa,Cotton,453.0466863,1698.847366,0.768,591096.7062
Colusa,Cucurbits,4438.68867,202.6283347,12.01,10801843.16
Colusa,Dry Beans,2916.027421,1271.138715,1.148,4255263.301
Colusa,Grain,8922.890569,254.5707258,2.92,6632799.648
