region,crop_type,xland_base,xwater_base,revenue_base,xlandsc,xwatersc,revenuesc,shortage
Plumas,Field and grain,2249.350557,1774.878489,1447306.73,2249.35062,1774.87852,1447306.77,0
Plumas,Orchards,9.32000796,31.01457636,27920.11774,9.320007962,31.01457606,27920.11774,0
Plumas,Vegetables,22.6974171,60.42585211,43789.23629,22.69741713,60.42585159,43789.23636,0
Riverside,Alfalfa and pasture,58944.40976,384412.9061,168027808.8,58944.40957,384412.9032,168027808.4,0
Riverside,Field and grain,28852.70526,74890.78793,52466069.44,28852.70554,74890.78799,52466069.56,0
Riverside,Orchards,32744.14315,161790.9475,359959042.8,32744.14315,161790.9469,359959042.8,0
Riverside,Vegetables,28529.35583,49425.26102,256924944.7,28529.35584,49425.26085,256924944.8,0
Riverside,Vineyards,8812.126523,33230.85028,175617014.5,8812.126523,33230.85016,175617014.5,0
Sacramento,Alfalfa and pasture,39065.09079,158835.5442,62835093.22,39065.0907,158835.5428,62835093.07,0
Sacramento,Field and grain,50650.05351,87310.48757,42118433.22,50650.05372,87310.48705,42118433.35,0
Sacramento,Orchards,12625.04169,43132.18752,37916551.18,12625.04168,43132.18726,37916551.17,0
Sacramento,Rice,8613.964389,39070.52979,18111363.5,8613.964382,39070.52947,18111363.49,0
Sacramento,Vegetables,5252.792758,13289.12278,14406194.71,5252.792759,13289.12269,14406194.71,0
Sacramento,Vineyards,36667.75441,107217.9102,213832527.3,36667.75441,107217.9096,213832527.3,0
San Benito,Alfalfa and pasture,7795.394893,32753.08686,9262555.371,7795.39486,32753.08621,9262555.332,0
San Benito,Field and grain,9094.670383,7943.407098,6353466.186,9094.670493,7943.407089,6353466.263,0
San Benito,Orchards,2765.967648,7492.158988,7334010.99,2765.967648,7492.158872,7334010.99,0
San Benito,Vegetables,20122.15066,23191.61808,170114921.1,20122.15068,23191.61784,170114921.2,0
San Benito,Vineyards,4502.783032,11064.1051,39076238.36,4502.783032,11064.10497,39076238.36,0
San Bernardino,Alfalfa and pasture,9795.145272,59057.59364,36471746.87,9795.145239,59057.59227,36471746.81,0
San Bernardino,Field and grain,3687.775415,9851.248179,4272729.95,3687.775541,9851.248192,4272730.042,0
San Bernardino,Orchards,5049.463028,19958.17604,32542371.28,5049.46303,19958.17572,32542371.3,0
San Bernardino,Vegetables,1112.055923,1945.783165,9043360.695,1112.055927,1945.783132,9043360.724,0
San Bernardino,Vineyards,451.8493137,1324.068776,584814.911,451.8493147,1324.068752,584814.9123,0
San Diego,Alfalfa and pasture,2096.721939,11794.29295,23789594.57,2096.721938,11794.29281,23789594.56,0
San Diego,Field and grain,1307.380391,1649.984919,381108.4397,1307.380483,1649.985009,381108.4666,0
San Diego,Orchards,25244.21065,87157.91917,273874947.4,25244.21065,87157.91823,273874947.4,0
San Diego,Vegetables,6925.096636,12251.19368,90027646.64,6925.096645,12251.19352,90027646.72,0
San Diego,Vineyards,893.4116434,2576.208765,3699905.17,893.4116436,2576.208736,3699905.171,0
San Joaquin,Alfalfa and pasture,58853.60338,251033.5964,102743698.1,58853.60328,251033.5952,102743697.9,0
San Joaquin,Field and grain,97494.06245,181569.9277,120610569.6,97494.06264,181569.9271,120610569.7,0
San Joaquin,Orchards,188470.0079,676701.2283,925145301.7,188470.0079,676701.2261,925145301.7,0
San Joaquin,Rice,4199.983494,20302.38252,11439878.74,4199.983493,20302.38244,11439878.73,0
San Joaquin,Vegetables,40312.3129,94941.83744,335024136.7,40312.31292,94941.83713,335024136.7,0
